source,period,model,symbol,direction,opened_at,closed_at,r,pnl,coin_ret,btc_ret,aligned_btc,aligned_coin
live-scalp,live,vwap_clone,XRP-USDT-SWAP,short,2026-09-20T21:15:00+00:00,2026-09-20T21:15:00+00:00,-1.8326139323254,-15.33380285,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-20T21:45:00+00:00,2026-09-20T21:45:00+00:00,-2.336293927220859,-12.12515141,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-20T21:45:00+00:00,2026-09-20T21:45:00+00:00,-2.0419511573817766,-13.59002233,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-20T22:30:00+00:00,2026-09-20T23:15:00+00:00,-2.382983733439046,-11.83790334,0.00042547628678835103,0.00042547628678835103,misaligned,misaligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-20T22:30:00+00:00,2026-09-20T23:15:00+00:00,-1.837842727402646,-15.07677165,0.0005350454788657366,0.00042547628678835103,misaligned,misaligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-20T22:30:00+00:00,2026-09-20T22:45:00+00:00,-2.033175880257056,-13.51243639,0.006439909297052182,0.0012098325719978043,misaligned,misaligned
live-scalp,live,vwap_clone,AVAX-USDT-SWAP,short,2026-09-20T23:00:00+00:00,2026-09-20T23:00:00+00:00,-1.2973292650203763,-30.03206118,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-20T23:15:00+00:00,2026-09-20T23:15:00+00:00,-1.5808599005702042,-18.58911904,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,AVAX-USDT-SWAP,short,2026-09-20T23:30:00+00:00,2026-09-20T23:45:00+00:00,-1.4766884296748994,-20.9715869,-0.0018534863195057705,-0.0011017581351604466,aligned,aligned
live-scalp,live,vwap_clone,BNB-USDT-SWAP,short,2026-09-20T23:30:00+00:00,2026-09-21T00:00:00+00:00,-1.4900508179621235,-19.80055819,0.006859953404090069,0.005130869170222319,misaligned,misaligned
live-scalp,live,vwap_clone,NEAR-USDT-SWAP,short,2026-09-20T23:30:00+00:00,2026-09-20T23:30:00+00:00,-1.2298693750842673,-36.37025541,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-21T00:00:00+00:00,2026-09-21T00:00:00+00:00,-2.488761773174528,-11.1596927,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,XRP-USDT-SWAP,short,2026-09-21T00:00:00+00:00,2026-09-21T00:00:00+00:00,-1.6046117794091113,-17.74337859,0.0,0.0,neutral,neutral
